# Texas Shootout settlement cases, shared by both builds.
#
# The Compose engine (ShootoutRules.settle + houseWay) and the web engine
# (window.SO.settle + houseWay) are two hand-written copies of the same
# maths. This file is the referee: ShootoutParityTest.kt runs it against
# Kotlin, web/so-parity.html runs it against the JavaScript, and both must
# agree with every line here.
#
# Cards are rank + suit: 2-9, T, J, Q, K, A and s h d c. Six decks are in
# the shoe, so the same card may appear twice.
#
# player two | dealer four | board | poker bonus |
#   outcome pokerReturn bonusReturn | player hand | dealer hand | dealer keeps
#
# Returns are gross - stake plus winnings - so a bonus push returns exactly
# the stake. "dealer keeps" is the house way's pick, high card first, and
# between equal ranks in suit order s h d c.

As Ks | 8h 8d 3c 4s | Ah Kd 2c 7h 9s | 25 25 | win 50 0 | Two Pair | Pair | 8h 8d
Qs Jd | Qh Jc 3s 4d | Ah Kh Tc 9s 2c | 25 25 | lose 0 50 | Straight | Straight | Qh Jc            # dealer wins the tie
Ah Kh | 2c 2d 9s 9h | Qh Jh Th 3c 4d | 25 25 | win 50 12525 | Royal Flush | Pair | 9s 9h
7s 7s | Ac Kd 5h 6h | 7h 7d 7c 2s 3s | 25 25 | win 50 1275 | Five of a Kind | Three of a Kind | Ac Kd
9d 9d | 3c 4c 5c 6c | 9d 9d 9d Ks 2h | 25 25 | win 50 125025 | Suited Five of a Kind | Three of a Kind | 6c 5c
5s 5h | Ad Qs 7c 7d | 5d Kc 9h 2s 3c | 25 25 | win 50 0 | Three of a Kind | High Card | Ad Qs     # trips lose the bonus
Kd Kc | Ah As 5c 2d | Kh 3s 9c Ac Ad | 25 25 | lose 0 100 | Full House | Four of a Kind | As Ah
2c 3c | 6h 6h Ad Jc | 6s 6d Kc 9h 4s | 25 25 | lose 0 0 | Pair | Pair | Ad Jc                    # ace-jack over a suited low pair
9c 9s | Ah 3h Tc 9d | Kh 7h 2d 5s 8c | 25 25 | win 50 0 | Pair | High Card | Ah 3h              # ace high suited over connected
Tc 2h | Kd 4d 7c 8c | 5s 6s 9h Jd Qc | 25 25 | lose 0 0 | High Card | High Card | Kd 4d           # face high suited over connected suited
6h 6d | 2c 5d 9h 7s | Ac Kd 3h 4s 8c | 25 25 | win 50 0 | Pair | High Card | 9h 7s              # nothing to go on: two highest
Ac Ad | Kc Kd 2s 3s | As Ah 5c 9d Jh | 50 0 | win 100 0 | Four of a Kind | Two Pair | Kd Kc       # no bonus riding
5h 6h | Qd Qc 9s 2h | 7h 8h 9h Kc 2d | 25 25 | win 50 2525 | Straight Flush | Pair | Qd Qc
4c 9c | Ac Kc 3d 3h | Jc 2c 8c 3s 5d | 25 25 | lose 0 75 | Flush | Flush | Ac Kc
Ad 2d | 9c Tc 6d 6s | 3s 4h 5c Kd Qh | 25 25 | win 50 50 | Straight | Pair | 6s 6d               # the wheel
Ah 2h | Kh Jh Qc 4d | 2s 5c 7d 9h 3c | 25 25 | win 50 0 | Pair | High Card | Kh Jh              # both ten-plus suited over unsuited
Ac Kc | 9s 9c Ts Td | 3h 4h 6h 8c 2d | 25 25 | lose 0 0 | High Card | Pair | Ts Td               # the higher of two pairs
